location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.8,2013-02-15,2013-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,32.6,2013-02-15,2013-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,47.5,2013-02-15,2013-03-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,29.4,2013-03-15,2013-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,21.5,2013-03-15,2013-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,16.5,2013-03-15,2013-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.5,2013-03-15,2013-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,25.0,2013-03-15,2013-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,45.0,2013-03-15,2013-04-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,29.5,2013-04-15,2013-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,22.0,2013-04-15,2013-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,16.29,2013-04-15,2013-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.25,2013-04-15,2013-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,25.08,2013-04-15,2013-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,43.75,2013-04-15,2013-05-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,30.0,2013-05-15,2013-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,21.78,2013-05-15,2013-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,19.58,2013-05-15,2013-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,16.5,2013-05-15,2013-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,25.0,2013-05-15,2013-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,42.5,2013-05-15,2013-06-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,30.0,2013-06-15,2013-07-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.89,2013-06-15,2013-07-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,17.39,2013-06-15,2013-07-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,cereals and tubers,Wheat,KG,actual,Retail,MRU,16.25,2013-06-15,2013-07-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,miscellaneous food,Sugar,KG,actual,Retail,MRU,25.0,2013-06-15,2013-07-14
MRT,False,False,Assaba,Kankossa,MR03,Assaba,MR034,Kankoussa,2,Kankossa,15.938907,-11.527006,oil and fats,Oil (vegetable),L,actual,Retail,MRU,41.25,2013-06-15,2013-07-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (local),KG,actual,Retail,MRU,20.0,2013-07-15,2013-08-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,18.3,2013-07-15,2013-08-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.3,2013-07-15,2013-08-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,miscellaneous food,Sugar,KG,actual,Retail,MRU,29.3,2013-07-15,2013-08-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,oil and fats,Oil (vegetable),L,actual,Retail,MRU,50.0,2013-07-15,2013-08-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (imported),KG,actual,Retail,MRU,28.89,2013-08-15,2013-09-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Rice (local),KG,actual,Retail,MRU,22.67,2013-08-15,2013-09-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Sorghum (taghalit),KG,actual,Retail,MRU,18.33,2013-08-15,2013-09-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,cereals and tubers,Wheat,KG,actual,Retail,MRU,15.33,2013-08-15,2013-09-14
MRT,False,False,Assaba,Barkeol,MR03,Assaba,MR031,Barkeol,2,Barkéol,16.640389,-12.498493,miscellaneous food,Sugar,KG,actual,Retail,MRU,29.0,2013-08-15,2013-09-14
